Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Adjusted Internal Energy,Adjusted Enthalpy,Adjusted Entropy
300,194,1005.2,0.00099487,110.97,130.53,0.38751,4.069,4.1291,1534.3,-0.040072,852.54,0.62014,liquid,-1.58,17.88,-0.00555
300,195,1005.2,0.00099482,110.96,130.62,0.38748,4.0687,4.1288,1534.5,-0.040071,852.54,0.62019,liquid,-1.59,17.97,-0.00558000000000003
300,196,1005.2,0.00099478,110.95,130.71,0.38745,4.0684,4.1286,1534.7,-0.04007,852.53,0.62025,liquid,-1.59999999999999,18.06,-0.00561
300,197,1005.3,0.00099474,110.95,130.8,0.38742,4.0681,4.1283,1534.9,-0.04007,852.53,0.6203,liquid,-1.59999999999999,18.15,-0.00564000000000003
300,198,1005.3,0.00099469,110.94,130.89,0.38739,4.0678,4.1281,1535,-0.040069,852.53,0.62035,liquid,-1.61,18.24,-0.00567000000000001
300,199,1005.4,0.00099465,110.93,130.99,0.38736,4.0675,4.1278,1535.2,-0.040069,852.52,0.62041,liquid,-1.61999999999999,18.34,-0.00570000000000004
300,200,1005.4,0.00099461,110.92,131.08,0.38733,4.0672,4.1276,1535.4,-0.040068,852.52,0.62046,liquid,-1.63,18.43,-0.00573000000000001
300,201,1005.5,0.00099456,110.91,131.17,0.3873,4.0669,4.1273,1535.5,-0.040068,852.52,0.62051,liquid,-1.64,18.52,-0.00576000000000004
300,202,1005.5,0.00099452,110.91,131.26,0.38727,4.0666,4.1271,1535.7,-0.040067,852.52,0.62057,liquid,-1.64,18.61,-0.00579000000000002
300,203,1005.6,0.00099448,110.9,131.35,0.38724,4.0663,4.1268,1535.9,-0.040066,852.51,0.62062,liquid,-1.64999999999999,18.7,-0.00582000000000005
300,204,1005.6,0.00099444,110.89,131.45,0.38721,4.066,4.1266,1536,-0.040066,852.51,0.62067,liquid,-1.66,18.8,-0.00585000000000002
300,205,1005.6,0.00099439,110.88,131.54,0.38718,4.0657,4.1263,1536.2,-0.040065,852.51,0.62073,liquid,-1.67,18.89,-0.00588
300,206,1005.7,0.00099435,110.87,131.63,0.38715,4.0654,4.1261,1536.4,-0.040065,852.5,0.62078,liquid,-1.67999999999999,18.98,-0.00591000000000003
300,207,1005.7,0.00099431,110.87,131.72,0.38712,4.0651,4.1258,1536.6,-0.040064,852.5,0.62083,liquid,-1.67999999999999,19.07,-0.00594
300,208,1005.8,0.00099426,110.86,131.81,0.38709,4.0648,4.1256,1536.7,-0.040063,852.5,0.62088,liquid,-1.69,19.16,-0.00597000000000003
300,209,1005.8,0.00099422,110.85,131.9,0.38706,4.0645,4.1254,1536.9,-0.040063,852.49,0.62094,liquid,-1.7,19.25,-0.00600000000000001
300,210,1005.9,0.00099418,110.84,132,0.38703,4.0642,4.1251,1537.1,-0.040062,852.49,0.62099,liquid,-1.70999999999999,19.35,-0.00603000000000004
300,211,1005.9,0.00099413,110.83,132.09,0.387,4.0639,4.1249,1537.2,-0.040062,852.49,0.62104,liquid,-1.72,19.44,-0.00606000000000001
300,212,1005.9,0.00099409,110.83,132.18,0.38697,4.0636,4.1246,1537.4,-0.040061,852.49,0.6211,liquid,-1.72,19.53,-0.00609000000000004
300,213,1006,0.00099405,110.82,132.27,0.38694,4.0633,4.1244,1537.6,-0.04006,852.48,0.62115,liquid,-1.73,19.62,-0.00612000000000001
300,214,1006,0.00099401,110.81,132.36,0.38691,4.063,4.1241,1537.7,-0.04006,852.48,0.6212,liquid,-1.73999999999999,19.71,-0.00615000000000004
300,215,1006.1,0.00099396,110.8,132.46,0.38688,4.0627,4.1239,1537.9,-0.040059,852.48,0.62126,liquid,-1.75,19.81,-0.00618000000000002
300,216,1006.1,0.00099392,110.79,132.55,0.38685,4.0624,4.1236,1538.1,-0.040059,852.48,0.62131,liquid,-1.75999999999999,19.9,-0.00620999999999999
300,217,1006.2,0.00099388,110.79,132.64,0.38682,4.0621,4.1234,1538.2,-0.040058,852.47,0.62136,liquid,-1.75999999999999,19.99,-0.00624000000000002
300,218,1006.2,0.00099383,110.78,132.73,0.38679,4.0618,4.1231,1538.4,-0.040057,852.47,0.62142,liquid,-1.77,20.08,-0.00627
300,219,1006.2,0.00099379,110.77,132.82,0.38676,4.0615,4.1229,1538.6,-0.040057,852.47,0.62147,liquid,-1.78,20.17,-0.00630000000000003
300,220,1006.3,0.00099375,110.76,132.91,0.38673,4.0613,4.1227,1538.8,-0.040056,852.47,0.62152,liquid,-1.78999999999999,20.26,-0.00633
300,221,1006.3,0.0009937,110.75,133.01,0.3867,4.061,4.1224,1538.9,-0.040056,852.46,0.62158,liquid,-1.8,20.36,-0.00636000000000003
300,222,1006.4,0.00099366,110.75,133.1,0.38667,4.0607,4.1222,1539.1,-0.040055,852.46,0.62163,liquid,-1.8,20.45,-0.00639000000000001
300,223,1006.4,0.00099362,110.74,133.19,0.38664,4.0604,4.1219,1539.3,-0.040054,852.46,0.62168,liquid,-1.81,20.54,-0.00642000000000004
300,224,1006.5,0.00099358,110.73,133.28,0.38661,4.0601,4.1217,1539.4,-0.040054,852.46,0.62173,liquid,-1.81999999999999,20.63,-0.00645000000000001
