Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K)
1210,100,18.312,0.054609,3900.5,4453.8,7.7,2.002,2.5125,829.55,0.24358,46.035,0.13386,vapor,3900.33941,4443.556,7.69950565
1220,100,18.153,0.055087,3920.8,4478.9,7.7207,2.0079,2.5171,832.92,0.23765,46.398,0.13534,vapor,3920.63941,4468.656,7.72020565
1230,100,17.997,0.055566,3941.1,4504.1,7.7412,2.0137,2.5217,836.27,0.2319,46.76,0.13681,vapor,3940.93941,4493.856,7.74070565
1240,100,17.843,0.056043,3961.5,4529.4,7.7617,2.0196,2.5263,839.6,0.2263,47.122,0.13829,vapor,3961.33941,4519.156,7.76120565
1250,100,17.693,0.05652,3982,4554.7,7.782,2.0255,2.531,842.91,0.22087,47.482,0.13977,vapor,3981.83941,4544.456,7.78150565
1260,100,17.545,0.056996,4002.5,4580,7.8022,2.0313,2.5357,846.2,0.21559,47.842,0.14125,vapor,4002.33941,4569.756,7.80170565
1270,100,17.4,0.057472,4023,4605.4,7.8222,2.0372,2.5405,849.47,0.21046,48.2,0.14273,vapor,4022.83941,4595.156,7.82170565
1280,100,17.257,0.057948,4043.7,4630.8,7.8422,2.043,2.5452,852.72,0.20547,48.558,0.14422,vapor,4043.53941,4620.556,7.84170565
1290,100,17.117,0.058423,4064.3,4656.3,7.862,2.0488,2.55,855.96,0.20062,48.914,0.1457,vapor,4064.13941,4646.056,7.86150565
1300,100,16.979,0.058897,4085,4681.8,7.8817,2.0546,2.5549,859.18,0.1959,49.269,0.14719,vapor,4084.83941,4671.556,7.88120565
1310,100,16.843,0.059371,4105.8,4707.4,7.9013,2.0604,2.5597,862.38,0.19131,49.624,0.14868,vapor,4105.63941,4697.156,7.90080565
1320,100,16.71,0.059844,4126.6,4733,7.9208,2.0662,2.5645,865.57,0.18684,49.977,0.15017,vapor,4126.43941,4722.756,7.92030565
1330,100,16.579,0.060317,4147.5,4758.7,7.9402,2.072,2.5694,868.74,0.18249,50.33,0.15166,vapor,4147.33941,4748.456,7.93970565
1340,100,16.45,0.06079,4168.4,4784.4,7.9594,2.0777,2.5743,871.89,0.17826,50.682,0.15315,vapor,4168.23941,4774.156,7.95890565
