Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Adjusted Internal Energy,Adjusted Enthalpy,Adjusted Entropy
300,23,26.252,0.038092,217.61,306.38,5.8961,0.74857,1.0775,357.14,0.3563,18.221,0.026859,vapor,-4.55999999999997,-4.81,-0.945600000000001
300,24,27.396,0.036502,217.41,306.17,5.8828,0.74881,1.0791,357.35,0.3549,18.238,0.026906,vapor,-4.75999999999999,-5.01999999999998,-0.958900000000001
300,25,28.539,0.035039,217.2,305.96,5.87,0.74905,1.0808,357.56,0.3535,18.255,0.026953,vapor,-4.97,-5.23000000000002,-0.9717
300,26,29.683,0.033689,216.99,305.75,5.8577,0.74929,1.0824,357.77,0.35211,18.272,0.027001,vapor,-5.17999999999998,-5.44,-0.984
300,27,30.826,0.03244,216.79,305.54,5.8458,0.74952,1.0841,357.99,0.35071,18.29,0.027049,vapor,-5.38,-5.64999999999998,-0.995900000000001
300,28,31.97,0.031279,216.58,305.32,5.8344,0.74976,1.0857,358.21,0.34931,18.308,0.027098,vapor,-5.58999999999998,-5.87,-1.0073
300,29,33.113,0.030199,216.38,305.11,5.8233,0.75,1.0873,358.43,0.3479,18.326,0.027147,vapor,-5.78999999999999,-6.07999999999998,-1.0184
300,30,34.257,0.029191,216.17,304.9,5.8126,0.75023,1.089,358.65,0.3465,18.344,0.027197,vapor,-6,-6.29000000000002,-1.0291
300,31,35.4,0.028248,215.96,304.69,5.8022,0.75047,1.0906,358.87,0.3451,18.362,0.027247,vapor,-6.20999999999998,-6.5,-1.0395
300,32,36.544,0.027365,215.76,304.49,5.7921,0.7507,1.0922,359.1,0.34369,18.38,0.027297,vapor,-6.41,-6.69999999999999,-1.0496
300,33,37.687,0.026535,215.55,304.28,5.7823,0.75093,1.0939,359.33,0.34229,18.399,0.027348,vapor,-6.61999999999998,-6.91000000000003,-1.0594
300,34,38.83,0.025753,215.35,304.07,5.7728,0.75117,1.0955,359.56,0.34088,18.417,0.027399,vapor,-6.81999999999999,-7.12,-1.0689
300,34,38.83,0.025753,215.35,304.07,5.7728,0.75117,1.0955,359.56,0.34088,18.417,0.027399,supercritical,-6.81999999999999,-7.12,-1.0689
300,34,38.83,0.025753,215.35,304.07,5.7728,0.75117,1.0955,359.56,0.34088,18.417,0.027399,supercritical,-6.81999999999999,-7.12,-1.0689
300,35,39.973,0.025017,215.14,303.86,5.7635,0.7514,1.0971,359.8,0.33947,18.436,0.02745,supercritical,-7.03,-7.32999999999998,-1.0782
300,36,41.116,0.024322,214.94,303.66,5.7545,0.75163,1.0988,360.03,0.33806,18.455,0.027502,supercritical,-7.22999999999999,-7.52999999999997,-1.0872
300,37,42.258,0.023664,214.73,303.45,5.7457,0.75186,1.1004,360.27,0.33665,18.475,0.027554,supercritical,-7.44,-7.74000000000001,-1.096
300,38,43.401,0.023041,214.53,303.24,5.7371,0.75209,1.102,360.51,0.33524,18.494,0.027607,supercritical,-7.63999999999999,-7.94999999999999,-1.1046
300,39,44.543,0.02245,214.32,303.04,5.7288,0.75232,1.1037,360.76,0.33383,18.514,0.027659,supercritical,-7.84999999999999,-8.14999999999998,-1.1129
300,40,45.685,0.021889,214.12,302.83,5.7206,0.75255,1.1053,361,0.33241,18.533,0.027712,supercritical,-8.04999999999998,-8.36000000000001,-1.1211
300,41,46.827,0.021355,213.91,302.63,5.7126,0.75278,1.1069,361.25,0.331,18.553,0.027766,supercritical,-8.25999999999999,-8.56,-1.1291
300,42,47.968,0.020847,213.71,302.43,5.7048,0.753,1.1085,361.5,0.32959,18.573,0.027819,supercritical,-8.45999999999998,-8.75999999999999,-1.1369
300,43,49.109,0.020363,213.51,302.23,5.6972,0.75323,1.1101,361.76,0.32817,18.594,0.027873,supercritical,-8.66,-8.95999999999998,-1.1445
300,44,50.25,0.0199,213.3,302.02,5.6897,0.75346,1.1117,362.01,0.32676,18.614,0.027928,supercritical,-8.86999999999998,-9.17000000000002,-1.152
300,45,51.391,0.019459,213.1,301.82,5.6824,0.75368,1.1134,362.27,0.32534,18.635,0.027982,supercritical,-9.06999999999999,-9.37000000000001,-1.1593
300,46,52.531,0.019036,212.89,301.62,5.6752,0.75391,1.115,362.53,0.32393,18.655,0.028037,supercritical,-9.28,-9.56999999999999,-1.1665
