Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K)
1520,100,21.91,0.045641,1253.1,1715.6,7.2795,0.95105,1.2493,789.13,-0.14743,54.725,0.089625,supercritical,1406.99,1858.02,4.9052
1530,100,21.77,0.045935,1262.6,1728.1,7.2877,0.95209,1.2503,791.49,-0.14776,54.957,0.090054,supercritical,1416.49,1870.52,4.9134
1540,100,21.632,0.046229,1272.2,1740.6,7.2958,0.95311,1.2513,793.84,-0.14808,55.189,0.090482,supercritical,1426.09,1883.02,4.9215
1550,100,21.495,0.046522,1281.7,1753.1,7.3039,0.95411,1.2522,796.19,-0.14839,55.421,0.09091,supercritical,1435.59,1895.52,4.9296
1560,100,21.36,0.046816,1291.3,1765.6,7.312,0.95511,1.2532,798.53,-0.1487,55.652,0.091337,supercritical,1445.19,1908.02,4.9377
1570,100,21.227,0.047109,1300.8,1778.2,7.32,0.95609,1.2541,800.86,-0.149,55.883,0.091764,supercritical,1454.69,1920.62,4.9457
1580,100,21.096,0.047403,1310.4,1790.7,7.328,0.95705,1.2551,803.19,-0.1493,56.113,0.092191,supercritical,1464.29,1933.12,4.9537
1590,100,20.966,0.047696,1320,1803.3,7.3359,0.95801,1.256,805.51,-0.14959,56.343,0.092617,supercritical,1473.89,1945.72,4.9616
1600,100,20.838,0.04799,1329.6,1815.8,7.3438,0.95895,1.2569,807.82,-0.14988,56.573,0.093043,supercritical,1483.49,1958.22,4.9695
1610,100,20.711,0.048283,1339.2,1828.4,7.3516,0.95988,1.2578,810.13,-0.15016,56.803,0.093469,supercritical,1493.09,1970.82,4.9773
1620,100,20.586,0.048577,1348.8,1841,7.3594,0.9608,1.2587,812.43,-0.15043,57.032,0.093894,supercritical,1502.69,1983.42,4.9851
1630,100,20.462,0.04887,1358.4,1853.6,7.3671,0.96171,1.2595,814.73,-0.1507,57.26,0.094319,supercritical,1512.29,1996.02,4.9928
1640,100,20.34,0.049164,1368,1866.2,7.3748,0.96261,1.2604,817.01,-0.15097,57.489,0.094743,supercritical,1521.89,2008.62,5.0005
1650,100,20.22,0.049457,1377.7,1878.8,7.3825,0.96349,1.2613,819.3,-0.15123,57.717,0.095168,supercritical,1531.59,2021.22,5.0082
1660,100,20.1,0.04975,1387.3,1891.4,7.3901,0.96437,1.2621,821.57,-0.15148,57.944,0.095592,supercritical,1541.19,2033.82,5.0158
1670,100,19.983,0.050044,1397,1904,7.3977,0.96523,1.2629,823.84,-0.15173,58.172,0.096015,supercritical,1550.89,2046.42,5.0234
1680,100,19.866,0.050337,1406.6,1916.7,7.4053,0.96608,1.2638,826.11,-0.15198,58.399,0.096438,supercritical,1560.49,2059.12,5.031
1690,100,19.751,0.05063,1416.3,1929.3,7.4128,0.96692,1.2646,828.36,-0.15222,58.625,0.096861,supercritical,1570.19,2071.72,5.0385
1700,100,19.637,0.050924,1426,1942,7.4202,0.96775,1.2654,830.61,-0.15246,58.852,0.097284,supercritical,1579.89,2084.42,5.0459
1710,100,19.525,0.051217,1435.7,1954.6,7.4276,0.96857,1.2662,832.86,-0.15269,59.078,0.097706,supercritical,1589.59,2097.02,5.0533
1720,100,19.414,0.05151,1445.3,1967.3,7.435,0.96939,1.267,835.1,-0.15292,59.303,0.098129,supercritical,1599.19,2109.72,5.0607
1730,100,19.304,0.051804,1455,1979.9,7.4424,0.97019,1.2677,837.33,-0.15314,59.529,0.09855,supercritical,1608.89,2122.32,5.0681
1740,100,19.195,0.052097,1464.8,1992.6,7.4497,0.97098,1.2685,839.56,-0.15336,59.754,0.098972,supercritical,1618.69,2135.02,5.0754
1750,100,19.088,0.05239,1474.5,2005.3,7.457,0.97176,1.2693,841.79,-0.15358,59.979,0.099393,supercritical,1628.39,2147.72,5.0827
1760,100,18.981,0.052684,1484.2,2018,7.4642,0.97253,1.27,844,-0.15379,60.203,0.099814,supercritical,1638.09,2160.42,5.0899
1770,100,18.876,0.052977,1493.9,2030.7,7.4714,0.97329,1.2707,846.21,-0.154,60.428,0.10023,supercritical,1647.79,2173.12,5.0971
1780,100,18.772,0.05327,1503.7,2043.4,7.4786,0.97405,1.2715,848.42,-0.1542,60.652,0.10066,supercritical,1657.59,2185.82,5.1043
1790,100,18.67,0.053563,1513.4,2056.1,7.4857,0.97479,1.2722,850.62,-0.1544,60.875,0.10108,supercritical,1667.29,2198.52,5.1114
1800,100,18.568,0.053856,1523.2,2068.9,7.4928,0.97553,1.2729,852.81,-0.1546,61.099,0.1015,supercritical,1677.09,2211.32,5.1185
1810,100,18.467,0.05415,1532.9,2081.6,7.4998,0.97625,1.2736,855,-0.15479,61.322,0.10192,supercritical,1686.79,2224.02,5.1255
1820,100,18.368,0.054443,1542.7,2094.3,7.5068,0.97697,1.2743,857.19,-0.15498,61.545,0.10233,supercritical,1696.59,2236.72,5.1325
